framework,path,id,creationDate,ownerUserId,postTypeId,acceptedAnswerId
github.com,android-test,61362916,2020-04-22T10:31:06.710,1083957,1,
github.com,android-test,61535060,2020-05-01T00:29:52.233,3268303,1,61575233
github.com,android-test,63059986,2020-07-23T17:34:19.497,3535408,1,
github.com,android-test,68534534,2021-07-26T18:00:14.513,9636037,1,
github.com,android-test,74630647,2022-11-30T15:55:55.913,4903876,1,
github.com,android-test,76049722,2023-04-18T23:29:37.090,20133009,1,
github.com,compose-samples,63685959,2020-09-01T10:32:22.400,12578380,1,63686058
github.com,compose-samples,64690821,2020-11-05T03:30:46.363,1498586,1,
github.com,compose-samples,66449161,2021-03-03T00:45:50.983,15318563,1,
github.com,compose-samples,66551858,2021-03-09T17:27:08.320,1228221,1,66638586
github.com,compose-samples,66742197,2021-03-22T08:01:32.587,10776107,1,69251907
github.com,compose-samples,67378308,2021-05-04T03:11:16.887,9636037,1,67381541
github.com,compose-samples,67447249,2021-05-08T11:54:01.797,8712876,1,67458573
github.com,compose-samples,67650892,2021-05-22T14:53:38.657,8835675,1,
github.com,compose-samples,68340503,2021-07-11T23:12:32.627,9091801,1,68340540
github.com,compose-samples,68507898,2021-07-24T07:27:13.060,3426472,1,
github.com,compose-samples,68560614,2021-07-28T12:42:46.870,8009973,1,
github.com,compose-samples,68738304,2021-08-11T08:13:27.410,9978524,1,
github.com,compose-samples,69222805,2021-09-17T11:36:50.550,13658281,1,
github.com,compose-samples,69493448,2021-10-08T09:18:30.600,11168170,1,
github.com,compose-samples,69540044,2021-10-12T11:52:07.387,11168170,1,69966108
github.com,compose-samples,69592170,2021-10-16T02:10:22.013,828896,1,69592252
github.com,compose-samples,69629067,2021-10-19T10:18:33.740,828896,1,69674786
github.com,compose-samples,69670919,2021-10-22T03:01:20.730,828896,1,69694528
github.com,compose-samples,69693392,2021-10-24T02:10:53.693,828896,1,69693487
github.com,compose-samples,69693583,2021-10-24T03:10:19.987,828896,1,69693738
github.com,compose-samples,69706347,2021-10-25T10:20:17.153,828896,1,69706532
github.com,compose-samples,69717113,2021-10-26T03:20:46.733,828896,1,69717432
github.com,compose-samples,69732128,2021-10-27T02:41:16.020,828896,1,69732261
github.com,compose-samples,69733447,2021-10-27T05:52:47.973,828896,1,69733987
github.com,compose-samples,69762710,2021-10-29T01:46:35.367,828896,1,69765481
github.com,compose-samples,69766354,2021-10-29T09:14:06.210,828896,1,
